characteristic	rating
dominant spice	3.75
dominate cocoa notes	3.75
light fruit	3.75
mild flavors	3.75
evolves black pepper to citrus	3.75
cranberry	3.75
cranberries	3.75
faint cinnamon	3.75
fades fast	3.75
fig w/ floral undertone	3.75
bright red fruit	3.75
balanced	3.735294117647059
wine	3.7
raspberry	3.6964285714285716
rich choco	3.6875
mild tart	3.6875
robust	3.6875
distinct	3.6666666666666665
apple	3.625
large nibs	3.625
red wine	3.625
delicate fruit	3.625
full bodied	3.625
mild grape	3.625
long lasting	3.625
strong nutty	3.625
mild caramel	3.625
tart red berry	3.625
well balanced	3.625
hints of fruit	3.625
blackberry	3.6136363636363638
subtle	3.607142857142857
dark berry	3.6029411764705883
mellow	3.6
strong cocoa	3.5833333333333335
pistachio	3.5833333333333335
malt	3.5833333333333335
deep choco	3.5833333333333335
tropical	3.5833333333333335
rich chocolate	3.5833333333333335
delicate	3.5714285714285716
complex	3.5681818181818183
pure	3.5625
fig	3.5625
long	3.5454545454545454
hazelnut	3.5416666666666665
chocolatey	3.53125
cream	3.53125
blueberry	3.5277777777777777
bright fruit	3.517857142857143
strawberries	3.5
spicy mild molasses	3.5
roasty edge	3.5
roasty undertone	3.5
robust dark tropical fruit	3.5
mild intensity	3.5
mild licorice	3.5
mild sweet cocoa	3.5
mango	3.5
mild smoke and fruit	3.5
mild sour orange	3.5
gianduja	3.5
full cocoa flavor	3.5
fruit forward	3.5
lingering coffee	3.5
full flavor spectrum	3.5
full flavor w/ dominant roast	3.5
melon like	3.5
masculine	3.5
mild tannic	3.5
fig notes	3.5
faint fruit	3.5
fat	3.5
mild pear	3.5
mild profile	3.5
mild roast	3.5
slight dry	3.5
slight grainy	3.5
slight hammy	3.5
strong fruit	3.5
candied orange	3.5
sour fig	3.5
sour malt	3.5
some roasty notes	3.5
smooth texture	3.5
sour orange	3.5
sour veggie	3.5
carame	3.5
caramel and cocoa	3.5
butter	3.5
sl. chalky	3.5
fruity with coffee notes	3.5
floral & fruit	3.5
floral-spice mix	3.5
leafy	3.5
sliglty dry	3.5
herbaceous	3.5
herbal tea	3.5
intense mocha flavor	3.5
intense brownie	3.5
light roast	3.5
Fruity	3.5
licoric	3.5
intense plum	3.5
very spicy	3.5
very coarse	3.5
banana raspberry	3.5
base cocoa w/ palm notes	3.5
basic chocolate	3.5
assertive	3.5
almond butter	3.5
wild berry	3.5
almond	3.5
light rum	3.5
strong raspberry	3.5
brownie batter	3.5
brownine	3.5
bright	3.5
sublte grape notes	3.5
subtle fruit then cocoa	3.5
subtle peanut butter	3.5
harsh woody	3.5
burnt cinnamon	3.5
burnt cocoa	3.5
texture issues	3.5
tangy wine	3.5
sweet cocoa	3.5
sweet spices	3.5
slightly dry	3.5
high astringcy	3.5
Roasty	3.5
late spiciness	3.5
sunflower	3.5
uneven melt	3.5
tropical berry	3.5
intense tangerine	3.5
pure cocoa	3.5
coffee grounds	3.5
rich malt	3.5
rich base cocoa	3.5
roasted nuts	3.5
roasted strawberry	3.5
mild burnt	3.5
roasted cacao	3.5
dark cocoa	3.5
dark color	3.5
crunchy	3.5
chunky melt	3.5
choco covered strawberry	3.5
charcoal	3.5
simple cocoa note	3.5
sandy texture	3.5
lemony	3.5
ripe orange	3.5
late mocha	3.5
slight roasty	3.5
slight woody	3.5
mild ashey	3.5
mellow but flavorful	3.5
mellow choco	3.5
baked bread	3.5
alluring aroma	3.5
intense spicy	3.5
ultra fruity	3.5
ham-like	3.5
green banana	3.5
green mint	3.5
granola	3.5
less intense berry	3.5
blueberry & cocoa dominate	3.5
bold citrus	3.5
black pepper and banana	3.5
accesible	3.5
unique flavor	3.5
intense marshmallow	3.5
clean	3.5
prunes	3.5
mysterious	3.5
near perfect shine	3.5
mostly earthy	3.5
milk brownie	3.5
nibs add bitterness	3.5
oreo shell	3.5
oily surface	3.5
strong start	3.5
dried fruit (fig)	3.5
dried apricot	3.5
controlled bitter	3.5
cooked banana	3.5
papaya	3.5
pasty	3.5
orange citrus	3.5
earty	3.5
mild fruit & nut	3.5
mild fruit and spice	3.5
olive	3.5
hint of caramel	3.5
blackcherry	3.5
bitter aftertaste	3.5
black current	3.5
basic fudgey	3.5
tart fruit	3.5
chocolate covered cherries	3.5
chocolaty	3.5
slight anise	3.5
sl. Metallic	3.5
cocoa and powerful tang	3.5
single note	3.5
single note of cocoa	3.5
sl. Fatty	3.5
coffee-like	3.5
cocoa tea	3.5
pungent grape	3.5
prominent plum note	3.5
prononced orange	3.5
plant	3.5
plums	3.5
sl. Nutty	3.5
butterscotch	3.485294117647059
smooth	3.484375
creamy	3.483502538071066
cherry	3.481707317073171
gateway	3.4722222222222223
grapes	3.4722222222222223
orange	3.4642857142857144
strawberry	3.462962962962963
rich	3.458904109589041
anise	3.4583333333333335
mild cherry	3.45
rich cocoa	3.4473684210526314
mild sour	3.4444444444444446
yogurt	3.4375
mild smoke	3.4375
fudge	3.4375
simple	3.4285714285714284
tang	3.4285714285714284
herbal	3.4166666666666665
muddy	3.4166666666666665
mild choco	3.4166666666666665
mocha	3.4166666666666665
dark roast	3.4166666666666665
choco	3.4166666666666665
minty	3.4166666666666665
chocolate	3.4166666666666665
green apple	3.4166666666666665
toffee	3.409090909090909
dried fruit	3.405844155844156
nuts	3.4047619047619047
honey	3.4
burnt caramel	3.4
high astringency	3.4
slow	3.4
strong floral	3.4
deep cocoa	3.3970588235294117
melon	3.3951612903225805
nutmeg	3.388888888888889
raisins	3.388888888888889
banana	3.3877551020408165
cinamon	3.3863636363636362
cocoa	3.3810408921933086
citrus	3.3796296296296298
silky	3.375
sl. bitter	3.375
diluted	3.375
maple	3.375
graham	3.375
macadamia	3.375
milk choco	3.375
spicy pepper	3.375
intense banana	3.375
spices	3.375
unique	3.375
dried fig	3.375
mild lemon	3.375
toast	3.375
mild nutty	3.375
berry notes	3.375
mild orange	3.375
intense orange	3.375
hot spice	3.375
holiday spice	3.375
smoke dominates	3.375
mild	3.3636363636363638
bourbon	3.3636363636363638
bold	3.361111111111111
berry	3.361111111111111
fudgey	3.357142857142857
spice	3.351449275362319
raisin	3.35
salty	3.35
rich brownie	3.35
black tea	3.35
mild floral	3.35
woodsy	3.35
cashew	3.35
tea	3.3461538461538463
caramel	3.3442028985507246
dairy	3.3413461538461537
rum	3.338235294117647
brownie	3.3369565217391304
black licorice	3.3333333333333335
grape	3.3333333333333335
mild fatty	3.3333333333333335
mild hammy	3.3333333333333335
	3.3333333333333335
mild roasty	3.3333333333333335
accessible	3.3333333333333335
mild spice	3.3333333333333335
"""lecithin-like"""	3.3333333333333335
mild tobacco	3.3333333333333335
one dimensional	3.3333333333333335
fruity	3.3275862068965516
smoke	3.323170731707317
candied	3.3214285714285716
mint	3.316666666666667
herbs	3.3125
alcohol	3.3125
tannic	3.3125
raisiny	3.3125
red fruit	3.3088235294117645
spicy	3.306338028169014
spicey	3.3055555555555554
peanut butter	3.296875
fruit	3.2963917525773194
red berry	3.2962962962962963
nutty	3.2953703703703705
marshmallow	3.2934782608695654
mild molasses	3.2916666666666665
hot cocoa	3.2916666666666665
chunky	3.2857142857142856
black pepper	3.28
coffee	3.276666666666667
sweet edge	3.272727272727273
nut	3.265625
lemon	3.264705882352941
heavy roast	3.263888888888889
tart	3.2572463768115942
sourness	3.25
strong spicey	3.25
strong base cocoa	3.25
cocoa then roasted nut	3.25
unusually tart	3.25
sligt burnt	3.25
strong molasses	3.25
nice melt	3.25
cocoa flavor dominates	3.25
off nutty	3.25
sour coffee	3.25
nibs too soft	3.25
oats	3.25
cooked black licorice	3.25
dominate grape	3.25
tropical fruit	3.25
nutella	3.25
orange soda	3.25
mild honey	3.25
Rich cocoa	3.25
true to origin	3.25
bold olive	3.25
mild musty	3.25
mild nuts	3.25
sour cherry	3.25
intense sweet	3.25
harsh earthiness	3.25
harsh ending	3.25
hay	3.25
grain	3.25
honey with subtle tobacco	3.25
cocounut	3.25
coffee AT	3.25
dominating roast	3.25
blueberries	3.25
"""Andes"" mint"	3.25
alocohol	3.25
watery	3.25
choco pudding	3.25
grainy texture	3.25
slight bitter	3.25
slight burnt note	3.25
savory lemon	3.25
coffee and cocoa	3.25
tart raspberry	3.25
bitterness	3.25
sl. burnt	3.25
wood	3.25
sl. bitter up front	3.25
basic cocoa base	3.25
berry notes with sweet edge	3.25
sl roasty	3.25
grapefruit	3.25
sl. Hammy	3.25
intense olive	3.25
slight harsh molasses	3.25
wheat	3.25
whole bean	3.25
astingent	3.25
short	3.25
short length	3.25
carrots	3.25
slight ashy	3.25
brownie like	3.25
strong tobacco	3.25
deep cherry	3.25
dark fruit	3.25
peach	3.25
medium roast	3.25
medium roasted cocoa	3.25
off fatty note	3.25
roaste brownie	3.25
peanutbutter	3.25
dominant roast	3.25
roasted banana	3.25
roasted cherry	3.25
roasted pear	3.25
poor finish	3.25
rasin	3.25
roasty/smokey	3.25
odd rubber notes	3.25
rich fruit	3.25
ripe	3.25
roast dominates	3.25
pepper	3.25
pungent raisin	3.25
large unground pieces	3.25
late choco	3.25
fudge-like	3.25
fruit in back	3.25
fragrant	3.25
hint of tang	3.25
intense tart	3.25
late hammy	3.25
late sour	3.25
bright red	3.25
sour palm	3.25
lavendar	3.25
herb	3.25
high acid	3.25
cardboard off	3.25
high astringnet	3.25
burnt fudge	3.25
intense blueberry	3.25
papery	3.25
mild berry	3.25
burnt black pepper	3.25
mild cocoa	3.25
mild coffee	3.25
mild coffee and rum	3.25
mildly burnt caramel	3.25
candy spice	3.25
spicy and candy-like	3.25
molasses undertone	3.25
moderate acidity	3.25
mild rubber	3.25
mild sweet honey	3.25
fudgey then spicy	3.25
spice/herb dominate cocoa base	3.25
dominant hazelnut	3.25
smoked nuts	3.25
slight sour	3.25
slightly metallic	3.25
smomkey cocoa	3.25
soap	3.25
distinct spicey	3.25
minted cocoa	3.25
pomegrant	3.25
molasses notes dominate	3.25
dominant savory	3.25
light toffee	3.25
prune	3.25
punchy	3.25
plastic off note	3.25
plum	3.25
candy tart	3.25
mild ham	3.25
ends sour	3.25
even flavor	3.25
bread notes	3.25
mild dairy	3.25
mild dried fruit	3.25
mild earthy	3.25
strong roast	3.25
candy spices	3.25
early fruit	3.25
earthy green	3.25
subtle fruit	3.25
burning sensation	3.25
burnt black licorice	3.25
margarine	3.25
oily	3.2451923076923075
floral	3.2451298701298703
tobacco	3.2430555555555554
licorice	3.225
light color	3.2115384615384617
grassy	3.210144927536232
roasty	3.2020089285714284
basic cocoa	3.2
savory	3.1964285714285716
rustic	3.1964285714285716
high acidity	3.1944444444444446
base cocoa	3.1875
tangy	3.1875
bread	3.1875
few grits	3.173076923076923
sticky	3.1676470588235293
cherries	3.1666666666666665
sl. sweet	3.1666666666666665
intense floral	3.1666666666666665
mild metallic	3.1666666666666665
intense cocoa	3.1666666666666665
orange peel	3.1666666666666665
cocoa base	3.1666666666666665
subdued	3.1666666666666665
mild mint	3.1666666666666665
crisp nibs	3.1666666666666665
basic	3.1666666666666665
intense	3.164335664335664
chewy	3.161764705882353
smokey	3.161111111111111
mild bitter	3.1517857142857144
bready	3.15
mild citrus	3.15
high roast	3.1363636363636362
coarse	3.1346153846153846
vegetal	3.1341463414634148
acidic	3.133720930232558
ham	3.1333333333333333
coconut	3.1323529411764706
mild fruit	3.1323529411764706
muted	3.130952380952381
woody	3.130434782608696
gummy	3.125
cucumber	3.125
oranges	3.125
tea-like	3.125
intense earthy	3.125
slow develop	3.125
mushroom	3.125
slow to develop	3.125
cooling sensation	3.125
sour ending	3.125
burnt honey	3.125
sour notes	3.125
green	3.108695652173913
cheese	3.107142857142857
sandy	3.086705202312139
overly sweet	3.0833333333333335
molassses	3.0833333333333335
cardamom	3.0833333333333335
moss	3.0833333333333335
candy like	3.0833333333333335
off aroma	3.0833333333333335
astringent	3.077777777777778
fatty	3.0689655172413794
powdery	3.0625
nibby	3.0625
sweet	3.0535087719298244
sl. Burnt	3.05
grass	3.0416666666666665
large grits	3.0416666666666665
sour fruit	3.0357142857142856
earthy	3.03125
molasses	3.0286458333333335
sour milk	3.026315789473684
dates	3.0
roasted vegetal	3.0
roasty and under refined	3.0
roasted	3.0
intensely smokey	3.0
lacks development	3.0
fruit medley	3.0
fruit then earthy	3.0
light caramel	3.0
light lime	3.0
light perfume	3.0
roasted caramel	3.0
fresh fruit	3.0
poor texture	3.0
dried sour fruit	3.0
too few nibs	3.0
unrecognizable	3.0
undefined	3.0
unripe fruit	3.0
sl sour	3.0
menthol	3.0
melon notes	3.0
mild choco & leather	3.0
mild burn	3.0
mild banana	3.0
metallic edge	3.0
brandy	3.0
possible mold	3.0
salt noticeable	3.0
simple cocoa	3.0
sharp fruit	3.0
sl. Sour	3.0
sl. Sandy	3.0
sl. Off	3.0
sl. Fruity	3.0
slight cherry	3.0
vegetable and honey	3.0
very sweet	3.0
heavy smoke	3.0
aluminum	3.0
apricot	3.0
watering	3.0
watered down coffee	3.0
late tart notes	3.0
cheesy	3.0
chocolate milk	3.0
coffee ground	3.0
intense spice	3.0
harsh smoke	3.0
harsh burnt	3.0
hint of smoke	3.0
intense bitter	3.0
subtle dairy	3.0
burnt blueberry	3.0
late tart	3.0
late sour & molasses	3.0
light brown	3.0
leathery flavor	3.0
strong wine	3.0
sl. sour	3.0
muted strawberry	3.0
notes from sugar	3.0
mild metallic and spice	3.0
mild marshmallow	3.0
burnt raspberry	3.0
sour mint	3.0
burnt toast	3.0
sour tart plum	3.0
sour raisin	3.0
mild off	3.0
mild nutty and fruit	3.0
mild woody	3.0
mild vanilla and mild fruit	3.0
sour banana	3.0
off pungent	3.0
burn butterscotch	3.0
overly intense	3.0
dark woody	3.0
dark coffee	3.0
damp woody	3.0
baked	3.0
bitter then nutty rustic	3.0
sl. pungent	3.0
sl. dry	3.0
slight musty	3.0
slight mustiness	3.0
slight metallic	3.0
intens	3.0
hot spices	3.0
synthetic	3.0
tart with woody undertones	3.0
overly roasty	3.0
bubblegum	3.0
accidental spicy (Kulfi?)	3.0
burn astringency	3.0
sugary	3.0
sugar dominates	3.0
earth	3.0
extra sweet	3.0
empty	3.0
ginger	3.0
fungal	3.0
maple syrup	3.0
pronounced fruit	3.0
slightly tart	3.0
slightly dry and super spicey	3.0
slightly bitter	3.0
modest	3.0
strong smokey tobacco	3.0
strong sour	3.0
strong coffee	3.0
strong mint	3.0
strong nutty with off notes	3.0
spoiled milk	3.0
soy milk	3.0
oddly sweet	3.0
mild smokey	3.0
mild vanilla	3.0
sligthly bland	3.0
dominate cocoa	3.0
dominate roast	3.0
dominated by heavy roast	3.0
dirty/burnt edge	3.0
dominant tobacco	3.0
spciy	3.0
sour	2.98731884057971
waxy	2.980769230769231
grits	2.9722222222222223
palm	2.9583333333333335
hammy	2.9516129032258065
gritty	2.9448529411764706
leather	2.9375
grit	2.9375
burnt nuts	2.9375
bland	2.9375
strong	2.9166666666666665
high astringent	2.9166666666666665
intense smoke	2.9166666666666665
mildly bitter	2.9166666666666665
leathery	2.909090909090909
dry	2.9047619047619047
grainy	2.9
candy	2.9
vanilla	2.8856382978723403
very astringent	2.875
very sandy	2.875
buttery	2.875
walnut	2.875
berries	2.875
burn	2.875
uneven	2.875
flour	2.875
atypical	2.875
flat	2.85
rubbery	2.8359375
crumbly	2.8333333333333335
candy-like	2.8333333333333335
off flavor	2.8333333333333335
over roasted	2.8333333333333335
artificial	2.8333333333333335
salt	2.8333333333333335
raw	2.8333333333333335
slight burnt	2.8333333333333335
dirty	2.825
slightly burnt	2.8125
off note	2.8
pungent	2.7948717948717947
off	2.7916666666666665
chalky	2.775
mild off note	2.75
candy like off flavor	2.75
burnt wood	2.75
super temper	2.75
intense fruit	2.75
hint of fruit	2.75
hint of berry	2.75
unbalanced	2.75
spoiled	2.75
trop. Fruit	2.75
burnt molasses	2.75
strong smoke	2.75
strong pepper	2.75
burnt fuel	2.75
fertilzer	2.75
fat residue	2.75
easter candy	2.75
off spicey	2.75
true to sugar bar	2.75
tolerable bitter	2.75
waxy mouthfeel	2.75
very spicey	2.75
very smokey	2.75
alkalyzed notes	2.75
blackpepper	2.75
Easter candy	2.75
mostly bitter	2.75
sticy	2.75
bitter ending	2.75
swiss miss	2.75
vanilla dominate	2.75
banana nut	2.75
molasses notes from sugar	2.75
sour off flavor	2.75
"caramel ""rolo"""	2.75
candy like vanilla	2.75
off sour note	2.75
mold	2.75
mild bitter and chemical off	2.75
metallic	2.75
rancid	2.75
pungent off flavor	2.75
coffee notes from roaster	2.75
rubber off	2.75
rough	2.75
sl. smokiness	2.75
sl. Chemical	2.75
off sour	2.75
intense vanilla	2.75
banana cream	2.75
very roasty	2.75
odd dairy	2.75
odd	2.75
nutty and bitter dominate	2.75
nut skins	2.75
muted spice	2.75
dutched?	2.75
chemical or burnt note	2.75
dull	2.75
off rubber	2.75
off notes of rubber	2.75
metal	2.75
meaty	2.75
mass market	2.75
low refinement	2.75
smoked ham	2.75
sharp	2.75
sublte strawberry	2.75
sweet grass	2.75
surface mark	2.75
cocoa butter dominates	2.75
cigarette butt	2.75
petro	2.75
refined	2.75
burlap	2.75
bright berry	2.75
brief fruit note	2.75
XL nibs	2.75
bitter	2.743150684931507
rubber	2.727272727272727
burnt	2.71875
unrefined	2.716666666666667
ashey	2.7083333333333335
harsh	2.7
soil	2.6875
soapy	2.6875
burning	2.6875
too sweet	2.6785714285714284
perfume	2.673076923076923
vinegar	2.6666666666666665
poor aftertaste	2.6666666666666665
dirt	2.65625
moldy	2.625
chemical off	2.625
chemical off note	2.625
charred	2.625
fresh nibs	2.625
burnt rubber	2.625
overyly sweet	2.625
fuel	2.625
very sour	2.625
strong vanilla	2.6136363636363638
cardboard	2.59375
cloying	2.5833333333333335
off notes	2.574074074074074
medicinal	2.5588235294117645
musty	2.5454545454545454
bittersweet	2.5
vanilla(n)	2.5
harsh flavor	2.5
very sticky	2.5
sour vanila	2.5
strong rubber	2.5
earthen	2.5
vanilla dominates	2.5
harsh woody/green	2.5
off medicinal	2.5
non descript	2.5
earthy off notes	2.5
cough medicine	2.5
overly tart	2.5
earthy ending	2.5
cheesey	2.5
cheesy off flavor	2.5
espresso	2.5
late cocoa notes	2.5
harsh aroma	2.5
chemical	2.5
sour grapes	2.5
sour dairy	2.5
melon floral	2.5
some spice	2.5
fruit punch	2.5
intense vinegar	2.5
dirt/ earthy	2.5
potting soil	2.5
off chemical	2.5
sour tang	2.5
mildly burnt	2.5
mildly rich	2.5
chlorine	2.5
burnt coffee	2.5
late cocoa	2.5
non-descript	2.5
uncontrolled bitterness	2.5
wet	2.5
ambiguous	2.5
almost burnt	2.5
then off	2.5
true to sugar	2.5
some fruit	2.4166666666666665
pastey	2.375
very nutty	2.375
strong bitter	2.375
extremely sweet	2.25
intense coffee	2.25
burnt up front	2.25
why bother	2.0
sandpaper	2.0
chocolate base off	2.0
very bland	2.0
bitter coffee flavor	2.0
multiple off flavors	2.0
vanilla domintates	2.0
flat flavor	2.0
malitol	2.0
slight plum	2.0
unfixable	1.75
dominate off note	1.75
klingy	1.5
unpleasant	1.5
high intensity bitter	1.5
wtf	1.5
strong chemical	1.5
very bitter	1.4583333333333333
this is not chocolate	1.0
strong off flavor	1.0
